level,residual_drop,scale_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_pct,mred_change_pct,rmse_change_pct,cost_proxy,within_10pct
0,14,18,7,60,250000,0.045740966381466186,0.04649071452097835,0.055855441032395405,4.8153415068700856,8.799394228794522,-18.47065224335802,157,yes
0,14,18,8,119,250000,0.04311419571026478,0.04373968705860325,0.05539001544382554,-1.2038987222512065,2.3613318222008406,-19.150010314192055,164,yes
0,14,20,7,61,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,143,no
0,14,20,8,122,250000,0.046219985788168674,0.04795812126384406,0.05798845139511794,5.913013608574591,12.233477063529087,-15.357205452559864,148,no
0,16,8,7,59,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,203,yes
0,16,8,8,118,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,220,yes
0,16,10,7,59,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,189,yes
0,16,10,8,118,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,204,yes
0,16,12,7,59,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,175,yes
0,16,12,8,118,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,188,yes
0,16,14,7,59,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,161,yes
0,16,14,8,118,250000,0.04252103775981621,0.04278640872256747,0.05551542989099499,-2.563119089947108,0.13043245744006615,-18.966949221342478,172,yes
0,16,16,7,59,250000,0.042330295245917846,0.0426166875982431,0.05557328508726893,-3.000205214612728,-0.2667555768713692,-18.88250093252115,147,yes
