candidate,mode,level,cases,mae,mred,rmse
joint_drop_16_no_round_lut,DIV,0,1000000,0.0440917006139235,0.04322495481453808,0.06896785297717908
baseline,DIV,1,1000000,0.011857181744840751,0.01104229944040316,0.01936943247682306
scale_drop_2,DIV,1,1000000,0.011857203471742595,0.011042316968888277,0.01936947919184408
residual_drop_2,DIV,1,1000000,0.011857173577434857,0.011042292882015437,0.019369420275549876
joint_drop_2_no_round_lut,DIV,1,1000000,0.011857184331267544,0.011042301541667113,0.01936944317221206
scale_drop_4,DIV,1,1000000,0.011857290224564348,0.011042386909590817,0.019369664712454424
residual_drop_4,DIV,1,1000000,0.011857141051886436,0.011042266322336266,0.0193693726562287
joint_drop_4_no_round_lut,DIV,1,1000000,0.011857216193391031,0.011042326914718582,0.01936953351904282
scale_drop_6,DIV,1,1000000,0.01185763771882676,0.011042667121937482,0.019370409366735914
residual_drop_6,DIV,1,1000000,0.011857009204850225,0.011042154548416849,0.019369187025541735
