level,group,dataset,mode,count,mred,rmse,mae,max_relative
0,div_drop,signed,div,2000,0.04463174675180485,17325069.93464252,1489623.855679872,0.30004730193513784
0,div_drop,cell_edges_diagonal,mul,10718,0.045126529575210246,0.1102489423206548,0.08478529204158582,0.250527569671801
0,div_drop,cell_edges_diagonal,div,10718,0.038708678318314815,0.0428112555757346,0.03869865167138877,0.2748161383314744
0,div_drop,residual_boundaries,mul,166464,0.03392873549082686,0.08601496131172788,0.06650317058939818,0.2506885319980238
0,div_drop,residual_boundaries,div,166464,0.04317808680015926,0.05675386049910111,0.043161272223929556,0.3059969013094932
0,div_drop,fresh_200k_seed_20260916,mul,200000,0.032531990632635545,0.0856200883026967,0.06534424819169525,0.24907924362049727
0,div_drop,fresh_200k_seed_20260916,div,200000,0.04357236632265451,0.055988335299126654,0.042992551079739844,0.30347979025185545
1,mul_drop,random_200k,mul,200000,0.007615773233146062,0.020839242208101568,0.01567672982286015,0.06210573530419152
1,mul_drop,random_200k,div,200000,0.01079316605499558,0.015785337404758622,0.011408229510070091,0.08788235471420087
1,mul_drop,boundary_grid,mul,131072,0.007729492117422223,0.021043643970092757,0.01594227195094923,0.06251397136311025
1,mul_drop,boundary_grid,div,131072,0.010808634183812478,0.015795125218327242,0.011413811587871431,0.0883997696465746
1,mul_drop,signed,mul,2000,0.007924123300693055,21424798.394757394,1303946.389491425,0.05119830212801299
1,mul_drop,signed,div,2000,0.011190345777444006,8650861.129182968,649624.7083322698,0.08660380114767782
1,mul_drop,cell_edges_diagonal,mul,10718,0.010178950750083586,0.02674701979423937,0.01993057417645963,0.0636232576774274
1,mul_drop,cell_edges_diagonal,div,10718,0.009485177754665347,0.011808439882851072,0.009648300628340208,0.08721941963447187
1,mul_drop,residual_boundaries,mul,166464,0.007719945939050654,0.02054751364063716,0.015313607114646,0.06371928824507037
1,mul_drop,residual_boundaries,div,166464,0.010845007964377608,0.016316199324034154,0.01155903840003288,0.09018462958496921
1,mul_drop,fresh_200k_seed_20260916,mul,200000,0.007617062407471965,0.020870824539771543,0.015682477637525928,0.06153969771630975
1,mul_drop,fresh_200k_seed_20260916,div,200000,0.010836791275381353,0.015807266786639497,0.011428280755002391,0.08978128523574788
1,div_drop,random_200k,mul,200000,0.007903166308260363,0.02137811207693802,0.016322029445733154,0.06529414790370142
1,div_drop,random_200k,div,200000,0.010952215073206269,0.015980606609177172,0.011585223504658309,0.09113102375960451
1,div_drop,boundary_grid,mul,131072,0.008225145607562486,0.022058642201797096,0.017045040953521218,0.06736351952569909
1,div_drop,boundary_grid,div,131072,0.010934720076511825,0.015951616312934343,0.011557411802659432,0.08958632628774432
1,div_drop,signed,mul,2000,0.008265844647290865,25015067.167372204,1455085.747681238,0.05216051435641783
1,div_drop,signed,div,2000,0.011290974209384323,8698534.684841907,637745.0018328867,0.08190116725259657
1,div_drop,cell_edges_diagonal,mul,10718,0.010747219697676853,0.02764670122984829,0.02124307175533391,0.06720243570611663
