dataset,design,mode,bits,bias,cases,mae,mred,rmse,mean_error,max_abs,max_relative,p99_relative
boundary_grid,oadm_mul_l0,mul,,,589824,0.06285558072268474,0.03140233675739478,0.08355283765615625,0.001952701144748264,0.261718273162856,0.2500448919897374,0.15844172634946238
boundary_grid,oadm_mul_l1,mul,,,589824,0.015804216125354112,0.007678880370214983,0.020952640608567333,0.0009761386447482639,0.06591749191285601,0.06251397136311025,0.033727494227854614
boundary_grid,oadm_mul_l2,mul,,,589824,0.003952172419253153,0.0019057605036895682,0.00524008818065244,0.00024371676974826388,0.016540050506606008,0.015094619914616416,0.00800348207932048
boundary_grid,oadm_mul_l3,mul,,,589824,0.0009886646345573108,0.0004758043625891944,0.0013117838219338788,6.061130099826389e-05,0.004142284393324758,0.003776787811105625,0.0019838350667128143
boundary_grid,input_mul_b2_bias0,mul,2,0,589824,0.35742229885525173,0.16027386862477486,0.3929818180272999,-0.35742229885525173,0.937499523162856,0.35999987792967003,0.3015603073232592
boundary_grid,input_mul_b2_bias1,mul,2,1,589824,0.1269359969913795,0.0590211685653378,0.15579424792954916,0.001952701144748264,0.484374523162856,0.265625,0.17796872067119376
boundary_grid,input_mul_b3_bias0,mul,3,0,589824,0.18164104885525173,0.08269286261795909,0.1992499596313746,-0.18164104885525173,0.484374523162856,0.2098763757608616,0.16398584387687465
boundary_grid,input_mul_b3_bias1,mul,3,1,589824,0.0635278138393384,0.02945778386831717,0.07799596864860286,0.001952701144748264,0.246093273162856,0.12890625,0.08608350974596668
boundary_grid,input_mul_b4_bias0,mul,4,0,589824,0.09082073635525173,0.04166791975276989,0.0996566413456262,-0.09082073635525173,0.246093273162856,0.11418665243992177,0.08513779013024966
boundary_grid,input_mul_b4_bias1,mul,4,1,589824,0.031858202740876446,0.014762428911976575,0.03913417449272195,0.001952701144748264,0.12402296066285601,0.0634765625,0.0429576971630209
boundary_grid,input_mul_b5_bias0,mul,5,0,589824,0.04467815823025174,0.02057755578783099,0.049221959836336926,-0.04467815823025174,0.12402296066285601,0.059687569566147576,0.04319852247941131
boundary_grid,input_mul_b5_bias1,mul,5,1,589824,0.016106796879992353,0.007462302715625329,0.019829617039952497,0.001952701144748264,0.06225538253785601,0.031494140625,0.0219235996965733
boundary_grid,input_mul_b6_bias0,mul,6,0,589824,0.021423763699001737,0.009885530494258585,0.02392210807767028,-0.021423763699001737,0.06225538253785601,0.030532316795590337,0.021806037771486514
boundary_grid,input_mul_b6_bias1,mul,6,1,589824,0.008371804098715081,0.0038790125918860938,0.01042245701266133,0.001952701144748264,0.031188488006606008,0.01568603515625,0.011755960362107555
boundary_grid,input_mul_b7_bias0,mul,7,0,589824,0.009750790066189237,0.004502513887064257,0.011421037749075463,-0.009750790066189237,0.031188488006606008,0.015443550509603993,0.0113502877752088
boundary_grid,input_mul_b7_bias1,mul,7,1,589824,0.004700649770610566,0.002178026291604423,0.006122084660061052,0.001952701144748264,0.015609264373793508,0.0078277587890625,0.0066497936463897865
boundary_grid,input_mul_b8_bias0,mul,8,0,589824,0.003902859157986111,0.0018017181656962294,0.005596795303109456,-0.003902859157986111,0.015609264373793508,0.00776672524633065,0.006499446067285311
boundary_grid,input_mul_b8_bias1,mul,8,1,589824,0.0035431585787996118,0.001643972429182932,0.004437671171506973,0.001952701144748264,0.007808208465590383,0.003910064697265625,0.0035827167784526024
boundary_grid,input_mul_b9_bias0,mul,9,0,589824,0.0019518534342447917,0.0009010622301688746,0.0027992205947688443,-0.0019518534342447917,0.007808208465590383,0.0038870289472640643,0.0032522623025646145
boundary_grid,input_mul_b9_bias1,mul,9,1,589824,0.0017711969295406786,0.0008218029841274128,0.0022183353138830355,0.0009762446085611979,0.0039048194885396015,0.0019540786743164062,0.001790919914901591
boundary_grid,input_mul_b10_bias0,mul,10,0,589824,0.0009760326809353299,0.0004505819601187354,0.0013997675927708065,-0.0009760326809353299,0.0039048194885396015,0.0019443419955607224,0.0016266914651995718
boundary_grid,input_mul_b10_bias1,mul,10,1,589824,0.0008854532817268815,0.00041083267879885705,0.0011089815007638952,0.00048809581332736544,0.0019524097442769062,0.0009768009185791016,0.0008952612831749361
boundary_grid,input_mul_b11_bias0,mul,11,0,589824,0.00048804283142089844,0.00022530374952205043,0.0006998746376658162,-0.00048804283142089844,0.0019524097442769062,0.0009722888191665395,0.0008134113077658767
boundary_grid,input_mul_b11_bias1,mul,11,1,589824,0.00044262070769227367,0.00020536646388046533,0.0005543567963136104,0.0002439491703019788,0.0009760856628560077,0.00048828125,0.00044749490612686174
