level,x_residual_drop,y_residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_x_residual_bits,active_y_residual_bits,cost_proxy,within_2pct,within_5pct,is_current
0,22,20,18,7,67,250000,0.10059937037408417,0.10340696451533121,0.1215822340151408,137.57617023036778,142.25576530065078,114.6857865240384,1,3,24,no,no,no
0,22,21,18,7,64,250000,0.1035381125813813,0.10397970050113652,0.12777662454485547,144.51632419264197,143.5975375420738,125.62363129783355,1,2,18,no,no,no
0,22,22,18,7,59,250000,0.12326914054801143,0.12073217425654417,0.15642771890141466,191.11325657491327,182.8442494953451,176.2147622845068,1,1,12,no,no,no
1,16,16,16,7,83 42,250000,0.011410847332303475,0.01078233655135932,0.016232578491446124,0.0,0.0,0.0,7,7,84,yes,yes,yes
1,16,17,16,7,83 42,250000,0.0120891897931788,0.011365641903276573,0.01643743849789564,5.944715945458112,5.409823271039671,1.2620299760599751,7,6,78,no,no,no
1,16,18,16,7,82 42,250000,0.012820255357937073,0.012106314058996497,0.018191371787499553,12.351475614292395,12.279133574904645,12.067049588490386,7,5,72,no,no,no
1,16,19,16,7,81 42,250000,0.01771172723617623,0.016893327531164886,0.023463717060372577,55.21833497881718,56.67594357398498,44.54707286791777,7,4,66,no,no,no
1,16,20,16,7,80 41,250000,0.02612610721985482,0.024340083275508632,0.034316519485522605,128.95852042374858,125.74034078392869,111.40522747883796,7,3,60,no,no,no
1,16,21,16,7,76 39,250000,0.048009580651424216,0.04445542748931672,0.061431987951035924,320.7363331863337,312.29864489540773,278.44873495241654,7,2,54,no,no,no
1,17,16,16,7,83 42,250000,0.011699718793340566,0.011200877812632227,0.017055186200833905,2.5315513618284324,3.8817306367620485,5.0676342629192295,6,7,78,no,no,no
1,17,17,16,7,83 42,250000,0.011978814984019832,0.011342558583174749,0.016726478827286558,4.977436251455858,5.1957386893548785,3.042648683945681,6,6,72,no,no,no
1,17,18,16,7,83 42,250000,0.013965811476910348,0.013071514221336868,0.01848728270446465,22.390661010544875,21.23081262649842,13.889994212605593,6,5,66,no,no,no
1,17,19,16,7,82 42,250000,0.017852522014460488,0.016945157290602267,0.023302825573504177,56.45220284317529,57.15663492683325,43.55590879036113,6,4,60,no,no,no
1,17,20,16,7,80 41,250000,0.02588438368343162,0.024051552406918933,0.03405859257346225,126.84015419393413,123.06438212491871,109.81628144542577,6,3,54,no,no,no
1,17,21,16,7,76 40,250000,0.04832657172925661,0.04530865006747251,0.06143203604957447,323.51431337133727,320.2117959465891,278.4490312610934,6,2,48,no,no,no
1,18,16,16,7,84 42,250000,0.01451392972373077,0.014217274679649804,0.01871247995754915,27.19414519413157,31.857085075474156,15.277310794522435,5,7,72,no,no,no
1,18,17,16,7,83 42,250000,0.01342131183231471,0.013103644914455122,0.018874880525778247,17.61888877717015,21.528806414442304,16.277771493447602,5,6,66,no,no,no
1,18,18,16,7,83 42,250000,0.013886564552714484,0.01321387304918595,0.018785382740996972,21.696173371826568,22.551109272508185,15.726424799954408,5,5,60,no,no,no
1,18,19,16,7,82 42,250000,0.017162830441296184,0.016217193756868597,0.0228976586578089,50.40802791839274,50.40518981782396,41.059897969228906,5,4,54,no,no,no
1,18,20,16,7,80 41,250000,0.025892337763446224,0.024015444381081268,0.03416569506251304,126.90986049867176,122.72950085251848,110.47608105216864,5,3,48,no,no,no
1,18,21,16,7,76 40,250000,0.0480769528887141,0.04480176445725225,0.06147668245033269,321.32675592469735,315.51072203922377,278.72407321318843,5,2,42,no,no,no
1,19,16,16,7,85 43,250000,0.016602807750750258,0.01622446952231117,0.021327790061163667,45.500218057853004,50.472668377855115,31.388799828705594,4,7,66,no,no,no
1,19,17,16,7,84 43,250000,0.016392444499378926,0.016151429917694027,0.021449427587321004,43.65668054266949,49.79526785089852,32.138141815386476,4,6,60,no,no,no
1,19,18,16,7,84 43,250000,0.018109366544833222,0.017649973714965215,0.023015318810527572,58.703083280823606,63.693403845199946,41.784737542810355,4,5,54,no,no,no
1,19,19,16,7,83 42,250000,0.01947842773451806,0.018695249264407604,0.02558957291114261,70.70097572312368,73.38773627920854,57.64330309338854,4,4,48,no,no,no
1,19,20,16,7,81 41,250000,0.028045702790553077,0.02640522321571588,0.0365828419845579,145.78107106171908,144.89333169986242,125.36679557000446,4,3,42,no,no,no
1,19,21,16,7,77 40,250000,0.04843640066995314,0.04504828251925237,0.06200666577637733,324.4768092973462,317.7970359640942,281.9890093804394,4,2,36,no,no,no
1,20,16,16,7,86 44,250000,0.0255148355327466,0.02556803450257028,0.031673656153293886,123.60158531361223,137.12888556930585,95.12399813735415,3,7,60,no,no,no
1,20,17,16,7,86 44,250000,0.02564379764474805,0.02563073438418965,0.031782344764124976,124.73175652917452,137.71039108363215,95.79356896917463,3,6,54,no,no,no
1,20,18,16,7,85 43,250000,0.026177448806840635,0.02625323452241451,0.032631335093155106,129.40845709795568,143.48372356365365,101.02373206050058,3,5,48,no,no,no
1,20,19,16,7,84 43,250000,0.02704708413008521,0.026666118972707636,0.03423674235956131,137.02958546747374,147.31299051638175,110.913764425058,3,4,42,no,no,no
1,20,20,16,7,82 42,250000,0.032929389348200284,0.03163924169064076,0.0425836775661137,188.57970306007874,193.4358572460997,162.33464750257315,3,3,36,no,no,no
1,20,21,16,7,78 41,250000,0.05120524362521815,0.047972544758909344,0.0659956394040957,348.74181674711355,344.9178944693717,306.5628848729891,3,2,30,no,no,no
