top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error
input_l3_mask_b4,3,mask,4,16,16,8,signed_safe,100,10262.516107367597,0.015261159611286365,0.04535385844297393,1610.3557351223674
input_l3_narrow_b4,3,narrow,4,16,16,8,uniform_100k,100000,0.020976898260920463,0.015601443939776784,0.0612676021869015,0.0012279406476668508
input_l3_narrow_b4,3,narrow,4,16,16,8,uniform_10k,10000,0.021029941489156306,0.015623006747953494,0.05965852086083653,0.0010872428515602752
input_l3_narrow_b4,3,narrow,4,16,16,8,boundaries,1733,0.028194302831681103,0.020789125665851973,0.05990589354769327,-0.006722024346067301
input_l3_narrow_b4,3,narrow,4,16,16,8,signed_safe,100,10262.516107367597,0.015261159611286365,0.04535385844297393,1610.3557351223674
input_l3_mask_b5,3,mask,5,16,16,8,uniform_100k,100000,0.010561802894930885,0.007990650202907179,0.036181338037947944,-0.00014812533133705538
input_l3_mask_b5,3,mask,5,16,16,8,uniform_10k,10000,0.010523009524908427,0.007986860599367134,0.03226805282096535,-0.0002239265820334749
input_l3_mask_b5,3,mask,5,16,16,8,boundaries,1733,0.0140603422716285,0.010240188276182075,0.03356923353081104,-0.004303000001316508
input_l3_mask_b5,3,mask,5,16,16,8,signed_safe,100,3804.782467875514,0.008106417319865363,0.02449288514098337,468.5873252259209
input_l3_narrow_b5,3,narrow,5,16,16,8,uniform_100k,100000,0.010561802894930885,0.007990650202907179,0.036181338037947944,-0.00014812533133705538
input_l3_narrow_b5,3,narrow,5,16,16,8,uniform_10k,10000,0.010523009524908427,0.007986860599367134,0.03226805282096535,-0.0002239265820334749
input_l3_narrow_b5,3,narrow,5,16,16,8,boundaries,1733,0.0140603422716285,0.010240188276182075,0.03356923353081104,-0.004303000001316508
input_l3_narrow_b5,3,narrow,5,16,16,8,signed_safe,100,3804.782467875514,0.008106417319865363,0.02449288514098337,468.5873252259209
input_l3_mask_b6,3,mask,6,16,16,8,uniform_100k,100000,0.005595179797018522,0.004375153614202881,0.022201853332353003,-0.0008131167864151804
input_l3_mask_b6,3,mask,6,16,16,8,uniform_10k,10000,0.005599678051178631,0.004355305493049656,0.020289756880469773,-0.0008306892773459749
input_l3_mask_b6,3,mask,6,16,16,8,boundaries,1733,0.007232840697984401,0.005269771588916046,0.01995753113196268,-0.0028539873550293606
input_l3_mask_b6,3,mask,6,16,16,8,signed_safe,100,1777.7950905072942,0.004199081313059405,0.014946732836700742,181.90520167368248
input_l3_narrow_b6,3,narrow,6,16,16,8,uniform_100k,100000,0.005595179797018522,0.004375153614202881,0.022201853332353003,-0.0008131167864151804
input_l3_narrow_b6,3,narrow,6,16,16,8,uniform_10k,10000,0.005599678051178631,0.004355305493049656,0.020289756880469773,-0.0008306892773459749
input_l3_narrow_b6,3,narrow,6,16,16,8,boundaries,1733,0.007232840697984401,0.005269771588916046,0.01995753113196268,-0.0028539873550293606
input_l3_narrow_b6,3,narrow,6,16,16,8,signed_safe,100,1777.7950905072942,0.004199081313059405,0.014946732836700742,181.90520167368248
