dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred
signed_exponents,pace_z_l3_d0,3,0,23,1000,464690.92346514895,0.005777710150526245,6225174.724044249,229029.66782253754,0.03150182411882731,0,0.009458398095985726,0.005777718134642706
signed_exponents,pace_z_l3_d4,3,4,19,1000,464685.68169517023,0.005777657146685177,6225181.038982486,229022.08626385886,0.03150102516499867,0,0.009458309473014313,0.00577765912201496
signed_exponents,pace_z_l3_d8,3,8,15,1000,464805.5379491368,0.005776500640353222,6222603.664437535,229036.02937364453,0.031492935757483694,0,0.009456416717254794,0.005776500640353222
signed_exponents,pace_z_l3_d12,3,12,11,1000,464629.3710164352,0.00577081607405202,6158208.573030224,226716.2327108971,0.03115537776488343,0,0.009434610587421281,0.00577081607405202
signed_exponents,pace_z_l3_d14,3,14,9,1000,459966.83384389745,0.0057895788265539825,6013670.283106878,211418.32820515303,0.0307399217739908,0,0.009390607580314864,0.0057895788265539825
signed_exponents,pace_z_l3_d15,3,15,8,1000,491983.3059169107,0.005860117488832386,6127936.554097949,209158.75299705574,0.0307399217739908,0,0.009345217469117947,0.005860117488832386
signed_exponents,pace_z_l3_d16,3,16,7,1000,575735.9535911833,0.006203283636606486,5986155.213434197,184083.94739784717,0.0307399217739908,0,0.009484541886007808,0.006203283636606486
signed_exponents,pace_z_l3_d17,3,17,6,1000,801480.5092148765,0.007354817002166313,7767503.022113679,260273.90294690113,0.032432517738363295,0,0.01065232449051466,0.007354817002166313
signed_exponents,pace_z_l3_d18,3,18,5,1000,1034644.4595404734,0.01081483115117388,9077742.208697738,303966.6789650715,0.04739197350387362,0,0.014734729951822812,0.01081483115117388
signed_exponents,pace_z_l4_d0,4,0,23,1000,188394.24709475166,0.0038292749560872447,1649269.173604196,32414.838259783348,0.026547711165889835,0,0.006105076713447153,0.003829299957594088
signed_exponents,pace_z_l4_d4,4,4,19,1000,188384.9007027026,0.003829146540928189,1649184.679460156,32406.81723448885,0.026546912212061194,0,0.006104878000709795,0.0038291546239369026
signed_exponents,pace_z_l4_d8,4,8,15,1000,188698.50291186565,0.003826934195693832,1652052.732236981,32426.598161617072,0.026538822804546218,0,0.006101880814949657,0.003826934195693832
signed_exponents,pace_z_l4_d12,4,12,11,1000,192755.96007317663,0.0038016744945757594,1717587.6450706215,30180.269435934726,0.026198668212002875,0,0.006056617148710747,0.0038016744945757594
signed_exponents,pace_z_l4_d14,4,14,9,1000,204287.66559215065,0.0037891522393913874,1979052.71560839,15120.196887487315,0.025780016405795685,0,0.005924987284341144,0.0037891522393913874
signed_exponents,pace_z_l4_d15,4,15,8,1000,214390.8512836466,0.0038504401260431123,2113192.2293179687,12613.113012092886,0.025780016405795685,0,0.005832781529604749,0.0038504401260431123
signed_exponents,pace_z_l4_d16,4,16,7,1000,370801.4028749118,0.004249014972282437,3704003.0176338153,-11715.886607594928,0.025780016405795685,0,0.006007942231620488,0.004249014972282437
signed_exponents,pace_z_l4_d17,4,17,6,1000,587210.9939447774,0.005647685144162262,5970985.506470106,65270.03625664765,0.025650568404769612,0,0.007407170226044113,0.005647685144162262
signed_exponents,pace_z_l4_d18,4,18,5,1000,827662.2457614678,0.009780337724236596,7242872.116349514,109126.21841004903,0.041148287936951446,0,0.012455430348759674,0.009780337724236596
