candidate,reference,mred_change_pct,rmse_change_pct,area_change_pct,delay_change_pct,power_change_pct,adp_change_pct,both_errors_no_worse,strict_adp_win
stdm_tune_00_csd,oadm_fixed_l2_div_specialized,24.30172515927149,22.030115352890213,13.748787587400635,4.564774849515918,32.26589991246102,18.941163634819613,False,False
stdm_tune_05_binary,oadm_fixed_l2_div_specialized,-13.93393964142563,-24.675609130296372,94.73811775031874,14.928896961811589,182.34577754445903,123.81037069463514,True,False
stdm_tune_05_csd,oadm_fixed_l2_div_specialized,-13.93393964142563,-24.675609130296372,85.3055281434296,16.770522299418534,148.0230452631032,116.38223306277875,True,False
stdm_input_mask6,oadm_fixed_l2_div_specialized,40.488592130399056,20.11419284195819,18.501454743567347,11.100552962717947,1.6252666473911992,31.655771488968277,False,False
stdm_input_mask6_narrow,oadm_fixed_l2_div_specialized,40.488592130399056,20.11419284195819,6.401551995897403,-0.5920684752774852,-15.321715656948543,5.771581949323723,False,False
stdm_input_effective17,oadm_fixed_l2_div_specialized,40.488592130399056,20.11419284195819,6.910766213778863,-5.979160651567705,-14.198365673004009,0.5183997480350477,False,False
stdm_tune_00_midpoint,oadm_fixed_l2_div_specialized,24.30172515927149,22.030115352890213,-16.29485921565901,-0.7952722235825993,-22.25674629558322,-16.96054295002757,False,False
stdm_tune_04_midpoint,oadm_fixed_l2_div_specialized,-16.849750039608814,-13.88552549066141,-0.4364694450807671,1.2473640161247301,0.4249037004862011,0.8054502082446513,True,False
stdm_tune_05_midpoint,oadm_fixed_l2_div_specialized,-13.93393964142563,-24.675609130296372,26.91561598204999,2.1358322034084054,-16.307694767515468,29.626320579348775,True,False
stdm_tune_00,oadm_fixed_l3_div_specialized,62.270061310154425,86.29543432014921,-27.32535677096639,-14.460212429701224,-22.35184667895108,-37.83426456441214,False,False
stdm_tune_01,oadm_fixed_l3_div_specialized,83.66546090988633,95.71390601779058,-15.399459680412274,-5.677772765772405,-10.642965811832605,-20.20288611837413,False,False
stdm_tune_02,oadm_fixed_l3_div_specialized,19.90978343441543,42.128727184731865,-18.60285582946617,-9.044325959195065,-8.07978238117103,-25.964678869725198,False,False
stdm_tune_03,oadm_fixed_l3_div_specialized,38.17998042109969,32.742878505209184,-4.592821238601519,-4.045445547446203,-6.324757019082394,-8.452466703748573,False,False
stdm_tune_04,oadm_fixed_l3_div_specialized,8.54874412835882,31.465363148890013,-13.045156168132333,-8.661069807138755,0.7074530132990642,-20.576375893098874,False,False
stdm_tune_05,oadm_fixed_l3_div_specialized,12.355197590494704,14.992844769442915,-2.5858741193182877,-1.4911617431826785,-4.25970395111489,-4.038476296906834,False,False
stdm_tune_06,oadm_fixed_l3_div_specialized,1426.3511924162908,1521.6858798341661,-72.28869148471017,-42.9561673086721,-70.47519598522513,-84.19240753396038,False,False
stdm_tune_07,oadm_fixed_l3_div_specialized,1231.3699744982132,1283.0927375646318,-65.55384014764292,-32.40283109794287,-69.09146057097368,-76.71537114432958,False,False
stdm_tune_08,oadm_fixed_l3_div_specialized,1284.8095792029235,1289.2608106023256,-61.98378987632459,-33.28681903884161,-67.15456667453925,-74.63817694561821,False,False
stdm_tune_09,oadm_fixed_l3_div_specialized,1265.5100923734142,1333.5644030795145,-60.47857942965346,-31.387413231910532,-65.37112810042692,-72.88333101918943,False,False
stdm_tune_10,oadm_fixed_l3_div_specialized,285.5518393389957,364.3189788243155,-39.4056348915969,-12.270038195807864,-20.706997442810916,-46.840586634905236,False,False
stdm_tune_11,oadm_fixed_l3_div_specialized,245.7818594685823,264.38344162335403,-35.33384751883162,-15.031689215282217,-35.292686055586785,-45.05426258728137,False,False
stdm_tune_12,oadm_fixed_l3_div_specialized,246.8608803733336,251.10458264017228,-22.346583948854526,-14.794141795040716,-28.011590672314135,-33.8347404281539,False,False
stdm_tune_13,oadm_fixed_l3_div_specialized,-18.252916677500664,-12.560751025409667,2.00694711928322,2.554283804263524,2.3105815836829136,4.612494048774729,True,False
stdm_tune_00_narrow,oadm_fixed_l3_div_specialized,62.270061310154425,86.29543432014921,-27.788498306669183,-13.976031075875639,-26.13272206963274,-37.88080022368556,False,False
stdm_tune_02_narrow,oadm_fixed_l3_div_specialized,19.90978343441543,42.128727184731865,-18.834426597317577,-13.761524457324214,-12.424366307445334,-30.004046832055153,False,False
stdm_tune_04_narrow,oadm_fixed_l3_div_specialized,8.54874412835882,31.465363148890013,-13.836356474772838,-6.95442789040367,-5.092558735624053,-19.828544931479243,False,False
stdm_tune_05_narrow,oadm_fixed_l3_div_specialized,12.355197590494704,14.992844769442915,-9.069856959266431,-10.728251592573724,-15.248783446966208,-18.8250714781635,False,False
stdm_tune_06_narrow,oadm_fixed_l3_div_specialized,1426.3511924162908,1521.6858798341661,-71.15013494588605,-41.1622299601816,-68.67173628702858,-83.0253827426625,False,False
stdm_tune_10_narrow,oadm_fixed_l3_div_specialized,285.5518393389957,364.3189788243155,-29.313006536212406,-11.922479060454517,-19.79345872711208,-37.74064853039734,False,False
stdm_tune_13_narrow,oadm_fixed_l3_div_specialized,-18.252916677500664,-12.560751025409667,-4.554225994483518,-6.686700265131473,-8.342814394588782,-10.936398817967174,True,True
