level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,16,16,11,23,mse,947,0.04301376556791873,0.043657973363264505,0.05507967903004398,0.27134075341411185,0.20764058475053895,195
0,14,16,16,11,23,mred,927,0.040203189980805125,0.04022586930576009,0.059686289227783546,0.28672954426069874,0.22437468010955605,195
0,14,16,18,5,23,mse,15,0.04600387641749666,0.04697821252732827,0.0559691744485678,0.2828524654017771,0.20203028180914584,131
0,14,16,18,6,23,mse,30,0.04600387641749666,0.04697821252732827,0.0559691744485678,0.2828524654017771,0.20203028180914584,138
0,14,16,18,6,23,mred,29,0.04070654815150095,0.040896305444603084,0.061457061173077795,0.30675738322171786,0.22862927241550765,138
0,14,16,18,7,23,mse,59,0.04133803524618254,0.0420344455310797,0.05592070622929021,0.2948049243117475,0.21532977711232676,145
0,14,16,18,7,23,mred,58,0.04070654815150095,0.040896305444603084,0.061457061173077795,0.30675738322171786,0.22862927241550765,145
0,14,16,18,8,23,mse,119,0.04316941949924169,0.04405250360075245,0.055208046750934194,0.28882869485676227,0.2086800294607363,152
0,14,16,18,8,23,mred,116,0.04070654815150095,0.040896305444603084,0.061457061173077795,0.30675738322171786,0.22862927241550765,152
0,14,16,18,9,23,mse,238,0.04316941949924169,0.04405250360075245,0.055208046750934194,0.28882869485676227,0.2086800294607363,159
0,14,16,18,9,23,mred,233,0.040435837646187175,0.040763094964797936,0.05960769865751755,0.30376926849422525,0.22530439858971243,159
0,14,16,18,10,23,mse,476,0.04316941949924169,0.04405250360075245,0.055208046750934194,0.28882869485676227,0.2086800294607363,166
0,14,16,18,10,23,mred,466,0.040435837646187175,0.040763094964797936,0.05960769865751755,0.30376926849422525,0.22530439858971243,166
0,14,16,18,11,23,mse,952,0.04316941949924169,0.04405250360075245,0.055208046750934194,0.28882869485676227,0.2086800294607363,173
0,14,16,18,11,23,mred,931,0.040468624809004726,0.04076195737200282,0.06004341291931871,0.3045162971760984,0.22613561704616125,173
0,14,16,20,5,23,mse,15,0.043341800390609364,0.045118788428973725,0.05918852453701317,0.3436199109805724,0.2451539763353961,121
0,14,16,20,6,23,mse,30,0.043341800390609364,0.045118788428973725,0.05918852453701317,0.3436199109805724,0.2451539763353961,126
0,14,16,20,7,23,mse,61,0.04666805479434229,0.0485033721182026,0.05837443523784018,0.3326802428302486,0.23257320927431938,131
