top,dataset,count,mae,mred,rmse,max_relative,p99_relative
stdm_tune_11,diagonal,8414,0.006103109400998336,0.006103109400998336,0.00692209436848859,0.01171875,0.01171875
stdm_tune_11,independent_200k,200000,0.009948946179234428,0.009666707020526319,0.012698999603501411,0.05686599168435864,0.03032925211149609
stdm_tune_12,random_200k,200000,0.009716264351101156,0.009692179057963787,0.012223853087296652,0.05235395288807523,0.03133910174607425
stdm_tune_12,grid_low,65536,0.009636894892395022,0.009592134749658022,0.012131682593225297,0.051806083650190106,0.030722246013703866
stdm_tune_12,grid_high,65536,0.009756887829768548,0.009765340862766836,0.012243394952410117,0.05202414109769195,0.03152065959789822
stdm_tune_12,signed,2000,487615.8200919638,0.009948969410864237,5888993.904915388,0.04599851192445642,0.031646380053455325
stdm_tune_12,cell_boundaries,2304,0.01300025703743616,0.012523098463777662,0.017474051560190135,0.046386611757459305,0.04023177165151987
stdm_tune_12,diagonal,8414,0.0029908532282505347,0.0029908532282505347,0.004421882374774262,0.00927734375,0.00927734375
stdm_tune_12,independent_200k,200000,0.009724520687975302,0.009693483323797089,0.012221631985965854,0.05214355954290479,0.03117283005433
stdm_tune_13,random_200k,200000,0.002352667494793465,0.002284222331948105,0.003044234072627718,0.01248952383459618,0.007173791507206458
stdm_tune_13,grid_low,65536,0.0020701290795619182,0.002005683131747553,0.0026676318970814063,0.01132404181184669,0.006126841162420388
stdm_tune_13,grid_high,65536,0.002289754718059083,0.002228611351302539,0.002966310899999737,0.010908351400882784,0.006905045586621212
stdm_tune_13,signed,2000,105344.74759040096,0.0023027541020365846,1153141.3068865181,0.011079830632113047,0.007136270523561848
stdm_tune_13,cell_boundaries,2304,0.0028876198803808833,0.0027260761904687875,0.0040600490822210065,0.014756840044322548,0.009827783530692406
stdm_tune_13,diagonal,8414,0.0022256070031160865,0.0022256070031160865,0.002804213668743984,0.00531005859375,0.00531005859375
