level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy,equivalent_dx,equivalent_dy,equivalence_mismatches
3,15,16,17,8,4,mse,226 181 149 124 105 90 78 69,0.015753519572634975,0.01520966534722892,0.020075855522443207,0.058005069245251575,0.04481261264883829,118,19,19,0
3,15,16,17,8,5,mse,227 182 149 124 105 90 78 69,0.008357521382362612,0.00818843576690148,0.010549102816979078,0.0334343443121468,0.024254041794232697,118,18,18,0
3,15,16,17,8,6,mse,227 182 149 124 105 90 78 68,0.005030141181461252,0.005080431433245424,0.006333584485013602,0.024486402476299504,0.016612471493451516,118,17,17,0
3,15,16,17,8,7,mse,228 182 149 124 105 90 78 68,0.0037553018571315462,0.0038622479068743183,0.0046022142544706116,0.01724834246178462,0.012072195203346823,118,16,16,0
3,15,16,17,8,8,mse,228 182 149 124 105 90 78 68,0.003139933856358024,0.003136103527197649,0.0039815997222500035,0.01312920545441191,0.009797364447399448,118,15,16,0
3,15,16,17,8,9,mse,228 182 149 124 105 90 78 68,0.003139933856358024,0.003136103527197649,0.0039815997222500035,0.01312920545441191,0.009797364447399448,118,15,16,0
3,15,16,17,8,10,mse,228 182 149 124 105 90 78 68,0.003139933856358024,0.003136103527197649,0.0039815997222500035,0.01312920545441191,0.009797364447399448,118,15,16,0
0,18,18,18,7,1,mse,59,0.12225946078452235,0.12011632716449858,0.15485812764560147,0.5443960363878405,0.38561938857102934,109,22,22,0
0,18,18,18,7,1,mred,57,0.12340990696591567,0.11758110142715678,0.1591769871318676,0.49204362837469334,0.33864923980590966,109,22,22,0
0,18,18,18,7,2,mse,59,0.07126711436789321,0.07025210785438198,0.09202352561327815,0.2869966969898671,0.22560218955206038,109,21,21,0
0,18,18,18,7,3,mse,59,0.05007373137487701,0.05018150346671507,0.06596706583241094,0.266277202006615,0.1971210759798196,109,20,20,0
0,18,18,18,7,3,mred,58,0.05033882669485079,0.04979308041659987,0.06951141526057461,0.2787131816336215,0.21072919333609383,109,20,20,0
0,18,18,18,7,4,mse,59,0.04403956747242947,0.04446571938924024,0.05819959397964612,0.2806156078044122,0.2068198781608607,109,19,19,0
0,18,18,18,7,4,mred,58,0.04282590617193767,0.04273143817927025,0.06216709383925183,0.29280856360433744,0.2202636090394902,109,19,19,0
0,18,18,18,7,5,mse,59,0.041888963854919456,0.04248952183587888,0.05638193293455373,0.3073701291413799,0.21476473579790123,109,18,18,0
0,18,18,18,7,5,mred,58,0.04105488862624082,0.04113587784990168,0.0614993991933488,0.31910961847796665,0.22807380807251307,109,18,18,0
0,18,18,18,7,6,mse,59,0.041888963854919456,0.04248952183587888,0.05638193293455373,0.3073701291413799,0.21476473579790123,109,18,18,0
0,18,18,18,7,6,mred,58,0.04105488862624082,0.04113587784990168,0.0614993991933488,0.31910961847796665,0.22807380807251307,109,18,18,0
0,18,18,18,7,7,mse,59,0.041888963854919456,0.04248952183587888,0.05638193293455373,0.3073701291413799,0.21476473579790123,109,18,18,0
0,18,18,18,7,7,mred,58,0.04105488862624082,0.04113587784990168,0.0614993991933488,0.31910961847796665,0.22807380807251307,109,18,18,0
0,18,18,18,7,8,mse,59,0.041888963854919456,0.04248952183587888,0.05638193293455373,0.3073701291413799,0.21476473579790123,109,18,18,0
0,18,18,18,7,8,mred,58,0.04105488862624082,0.04113587784990168,0.0614993991933488,0.31910961847796665,0.22807380807251307,109,18,18,0
0,18,18,18,7,9,mse,59,0.041888963854919456,0.04248952183587888,0.05638193293455373,0.3073701291413799,0.21476473579790123,109,18,18,0
