level,residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_residual_bits,active_wn_bits,cost_proxy,within_2pct,within_5pct,is_current
3,17,16,8,227 182 149 124 105 90 78 68,250000,0.004440716868650447,0.004379971049482221,0.005634115033968345,60.664396263909495,57.15614527950548,61.0519625383839,6,9,144,no,no,no
3,17,17,8,228 182 149 124 105 90 78 68,250000,0.005085739787597916,0.0051204197854625415,0.006388910491263153,84.00121797859228,83.72391657504994,82.62789575584344,6,8,136,no,no,no
3,17,18,8,229 183 150 125 106 90 78 69,250000,0.006526094627418476,0.006425113415654885,0.008206334890619334,136.11301604868586,130.53715332372485,134.57922520452453,6,7,128,no,no,no
3,17,19,8,231 184 151 126 106 91 79 69,250000,0.009259851661457515,0.00895316426955249,0.011947167722570552,235.01988996059504,221.24522485677218,241.51145244544048,6,6,120,no,no,no
3,17,20,8,235 188 153 127 108 92 80 70,250000,0.017372405784555258,0.016780549049388315,0.022148442291635324,528.5307461800543,502.09676604764104,533.1163060622825,6,5,112,no,no,no
3,17,21,8,244 194 158 131 110 94 82 71,250000,0.03480968613858412,0.03365045813249803,0.04426346422444525,1159.4086434723401,1107.399826904779,1165.2772865152872,6,4,104,no,no,no
3,17,22,8,255 208 168 139 116 99 85 74,250000,0.0736578888139947,0.07091194367191424,0.09416498282638419,2564.9301422297376,2444.365612433188,2591.7191422520036,6,3,96,no,no,no
3,18,16,8,226 181 149 124 105 90 78 68,250000,0.008227207417694882,0.008006034661557452,0.01050131793417871,197.65899331105362,187.26161250157517,200.1816349759164,5,9,132,no,no,no
3,18,17,8,227 182 149 124 105 90 78 68,250000,0.008514742319934676,0.008364862538276627,0.010805530185546433,208.06195815650165,200.1365847986367,208.87758452888167,5,8,124,no,no,no
3,18,18,8,228 183 150 125 106 90 78 69,250000,0.009409258808846773,0.009180432303520692,0.011987776722173361,240.4254156544912,229.39974637305406,242.67226635202954,5,7,116,no,no,no
3,18,19,8,230 184 151 125 106 91 79 69,250000,0.011386870387150683,0.011069194807288758,0.01470429807628612,311.97507298927076,297.1697455550684,320.3244074104874,5,6,108,no,no,no
3,18,20,8,235 187 153 127 108 92 80 69,250000,0.018418338270495563,0.01791987009735135,0.023608902880660032,566.3724092171032,542.9763294307926,574.8637753017816,5,5,100,no,no,no
3,18,21,8,244 194 158 131 111 94 82 71,250000,0.03525621440286214,0.03404660491497439,0.04482211238550676,1175.5639616601447,1121.6138252612802,1181.2463219653932,5,4,92,no,no,no
3,18,22,8,255 208 167 138 117 99 85 74,250000,0.07379424507375018,0.07110620119388927,0.09434254724887382,2569.8634889839695,2451.335695796811,2596.7948459865806,5,3,84,no,no,no
3,19,16,8,225 181 148 124 105 90 78 69,250000,0.015839365462949194,0.01526674662807254,0.020260451927118835,473.06560282496326,447.780572958444,479.14783867641626,4,9,120,no,no,no
3,19,17,8,226 181 149 124 105 90 78 69,250000,0.015952313455725606,0.015382776767917414,0.020421634235388193,477.15204238087165,451.9438081278678,483.7552573955479,4,8,112,no,no,no
3,19,18,8,227 182 149 124 106 91 79 69,250000,0.016368106931073302,0.015749006328563426,0.020956199395192224,492.19538102711863,465.08435754892804,499.03587690225424,4,7,104,no,no,no
3,19,19,8,229 183 150 125 106 91 79 69,250000,0.017251415282286107,0.01671855276625893,0.02210877783901505,524.1533299709799,499.87230000250065,531.9824921626741,4,6,96,no,no,no
3,19,20,8,234 186 152 127 108 92 80 69,250000,0.02209491317738729,0.021360342140981075,0.028569962709399457,699.3902766485644,666.4226532101856,716.6763611065948,4,5,88,no,no,no
3,19,21,8,243 193 159 131 111 94 82 70,250000,0.03728514866396524,0.03596599032865591,0.047832097013250585,1248.9704651056923,1190.4825939157113,1267.2871515519112,4,4,80,no,no,no
3,19,22,8,255 208 169 138 115 99 85 73,250000,0.07522000487768457,0.07248181867764172,0.09667126784028619,2621.447241087959,2500.6937254922773,2663.361648259758,4,3,72,no,no,no
