top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae
fig8_pace_l3_d8,pace,3,8,15,common,author,uniform_10k,10000,0.009364672892922709,0.005647568468014781,0.0013835761645485513,0.24002013713119127,0.005973349934091432
fig8_pace_l3_d12,pace,3,12,11,common,author,uniform_10k,10000,0.00933197397678223,0.005642742636948353,0.001061620292966522,0.23986860840998356,0.005979143942322241
fig8_pace_l3_d14,pace,3,14,9,common,author,uniform_10k,10000,0.009341923522805403,0.0057776079742095,3.937908202902509e-05,0.23938371650211887,0.006150414351633029
fig8_pace_l3_d15,pace,3,15,8,common,author,uniform_10k,10000,0.009602497403178992,0.006168289321792218,-0.0013507576367209804,0.23744414887066018,0.006595587106127967
fig8_pace_l3_d16,pace,3,16,7,common,author,uniform_10k,10000,0.010994396563392404,0.007548497065734492,-0.004065406074220982,0.23356501360774273,0.008065856747935455
fig8_pace_l3_d17,pace,3,17,6,common,author,uniform_10k,10000,0.015693120852821176,0.011359434043612364,-0.009539624824220943,0.045018462480954965,0.012112377346395012
fig8_pace_l4_d0,pace,4,0,23,common,author,uniform_10k,10000,0.005923006987512841,0.0037850187149297953,0.0017916043260742785,0.2400433399666262,0.003827905540846007
fig8_pace_l4_d4,pace,4,4,19,common,author,uniform_10k,10000,0.005922398015513784,0.003784606555314336,0.0017897035220314625,0.24004286643937242,0.0038275427637522157
fig8_pace_l4_d8,pace,4,8,15,common,author,uniform_10k,10000,0.005912759444247669,0.003778448351676593,0.0017595038989235508,0.24002013713119127,0.003822212511112312
fig8_pace_l4_d12,pace,4,12,11,common,author,uniform_10k,10000,0.005781661997458488,0.0037311310780581814,0.0012767814257790204,0.23986860840998356,0.0037873851711058733
fig8_pace_l4_d14,pace,4,14,9,common,author,uniform_10k,10000,0.005724560340784351,0.003951143746540302,-0.0002652107617209756,0.23938371650211887,0.004057661171535348
fig8_pace_l4_d15,pace,4,15,8,common,author,uniform_10k,10000,0.0064122420471490705,0.00476730876219696,-0.0023087654492209776,0.23744414887066018,0.004950678225567456
fig8_pace_l4_d16,pace,4,16,7,common,author,uniform_10k,10000,0.009721413681973767,0.007563399529254351,-0.006410718574220951,0.23356501360774273,0.00788526064367044
